n,d,r,g,b
1,3.350000E-10,7.950581E-02,1.164617E-01,1.410890E-01
2,8.100000E-10,1.682133E-01,2.593853E-01,3.238369E-01
3,1.285000E-09,2.922049E-01,4.470709E-01,5.521975E-01
4,1.760000E-09,4.374985E-01,6.644037E-01,8.118163E-01
5,2.235000E-09,6.064254E-01,9.143403E-01,1.105006E+00
6,2.710000E-09,8.015585E-01,1.200048E+00,1.434053E+00
7,3.185000E-09,1.025734E+00,1.524902E+00,1.801171E+00
8,3.660000E-09,1.282072E+00,1.892467E+00,2.208442E+00
9,4.135000E-09,1.574000E+00,2.306487E+00,2.657757E+00
10,4.610000E-09,1.905274E+00,2.770848E+00,3.150744E+00
11,5.085000E-09,2.279996E+00,3.289538E+00,3.688697E+00
12,5.560000E-09,2.702634E+00,3.866599E+00,4.272505E+00
13,6.035000E-09,3.178028E+00,4.506053E+00,4.902577E+00
14,6.510000E-09,3.711402E+00,5.211821E+00,5.578783E+00
15,6.985000E-09,4.308353E+00,5.987622E+00,6.300397E+00
16,7.460000E-09,4.974836E+00,6.836858E+00,7.066058E+00
17,7.935000E-09,5.717128E+00,7.762479E+00,7.873754E+00
18,8.410000E-09,6.541769E+00,8.766836E+00,8.720817E+00
19,8.885000E-09,7.455480E+00,9.851524E+00,9.603951E+00
20,9.360000E-09,8.465041E+00,1.101721E+01,1.051928E+01
