"Wavelength, µm","n","k"
0.193,0.625318,1.172111
0.194,0.62306,1.218438
0.195,0.622419,1.263209
0.196,0.623188,1.306551
0.197,0.625202,1.34858
0.198,0.628325,1.389411
0.199,0.632447,1.429149
0.2,0.637478,1.467888
0.201,0.643345,1.505717
0.202,0.649988,1.542717
0.203,0.657359,1.57896
0.204,0.665419,1.614512
0.205,0.674136,1.649435
0.206,0.683485,1.683783
0.207,0.693448,1.717606
0.208,0.70401,1.750948
0.209,0.715162,1.783852
0.21,0.726897,1.816354
0.211,0.739212,1.848489
0.212,0.752109,1.880285
0.213,0.765589,1.911771
0.214,0.779659,1.942971
0.215,0.794326,1.973907
0.216,0.809602,2.004598
0.217,0.825498,2.035059
0.218,0.84203,2.065304
0.219,0.859212,2.095345
0.22,0.877064,2.125191
0.221,0.895606,2.154846
0.222,0.914858,2.184315
0.223,0.934846,2.213598
0.224,0.955592,2.242692
0.225,0.977125,2.271593
0.226,0.999471,2.300292
0.227,1.022659,2.328776
0.228,1.04672,2.357031
0.229,1.071685,2.385037
0.23,1.097585,2.412772
0.231,1.124454,2.440207
0.232,1.152323,2.467313
0.233,1.181226,2.49405
0.234,1.211195,2.520379
0.235,1.242262,2.546251
0.236,1.274458,2.571615
0.237,1.30781,2.596413
0.238,1.342346,2.620579
0.239,1.378088,2.644044
0.24,1.415056,2.66673
0.241,1.453264,2.688554
0.242,1.492721,2.709426
0.243,1.533429,2.729251
0.244,1.575383,2.747928
0.245,1.618568,2.765348
0.246,1.66296,2.781401
0.247,1.708524,2.795971
0.248,1.755209,2.808939
0.249,1.802957,2.820186
0.25,1.85169,2.829592
0.251,1.901318,2.837039
0.252,1.951735,2.842413
0.253,2.002817,2.845606
0.254,2.054429,2.846519
0.255,2.106415,2.845062
0.256,2.158608,2.841163
0.257,2.210829,2.834761
0.258,2.262886,2.825816
0.259,2.314578,2.814309
0.26,2.3657,2.800241
0.261,2.416044,2.783639
0.262,2.465401,2.764551
0.263,2.513568,2.743051
0.264,2.56035,2.719236
0.265,2.605562,2.693226
0.266,2.649034,2.665161
0.267,2.690614,2.6352
0.268,2.730169,2.603514
0.269,2.767589,2.570291
0.27,2.802786,2.535725
0.271,2.835695,2.500014
0.272,2.866274,2.463361
0.273,2.894506,2.425965
0.274,2.920392,2.388021
0.275,2.943957,2.349718
0.276,2.96524,2.311234
0.277,2.984299,2.272736
0.278,3.001205,2.23438
0.279,3.01604,2.196307
0.28,3.028895,2.158643
0.281,3.039868,2.121503
0.282,3.049063,2.084984
0.283,3.056586,2.049171
0.284,3.062544,2.014137
0.285,3.067046,1.979941
0.286,3.070197,1.94663
0.287,3.072102,1.914241
0.288,3.072862,1.882803
0.289,3.072575,1.852334
0.29,3.071332,1.822845
0.291,3.069223,1.794341
0.292,3.066331,1.766819
0.293,3.062735,1.740273
0.294,3.058509,1.714692
0.295,3.053721,1.69006
0.296,3.048436,1.666361
0.297,3.042713,1.643574
0.298,3.036606,1.621676
0.299,3.030166,1.600643
0.3,3.02344,1.580451
0.301,3.016469,1.561073
0.302,3.009293,1.542484
0.303,3.001948,1.524656
0.304,2.994465,1.507563
0.305,2.986875,1.491178
0.306,2.979202,1.475474
0.307,2.971473,1.460426
0.308,2.963707,1.446008
0.309,2.955926,1.432196
0.31,2.948145,1.418963
0.311,2.940382,1.406288
0.312,2.932651,1.394147
0.313,2.924962,1.382517
0.314,2.917329,1.371377
0.315,2.90976,1.360707
0.316,2.902264,1.350485
0.317,2.89485,1.340694
0.318,2.887522,1.331314
0.319,2.880288,1.322327
0.32,2.873153,1.313717
0.321,2.866119,1.305466
0.322,2.859192,1.29756
0.323,2.852374,1.289983
0.324,2.845666,1.282721
0.325,2.839073,1.275759
0.326,2.832594,1.269086
0.327,2.826231,1.262687
0.328,2.819984,1.256552
0.329,2.813855,1.250668
0.33,2.807843,1.245025
0.331,2.801948,1.239611
0.332,2.79617,1.234418
0.333,2.790509,1.229435
0.334,2.784962,1.224653
0.335,2.779531,1.220063
0.336,2.774213,1.215658
0.337,2.769007,1.211428
0.338,2.763913,1.207367
0.339,2.758929,1.203467
0.34,2.754053,1.199722
0.341,2.749284,1.196124
0.342,2.74462,1.192667
0.343,2.74006,1.189346
0.344,2.735602,1.186154
0.345,2.731244,1.183086
0.346,2.726985,1.180136
0.347,2.722823,1.177301
0.348,2.718756,1.174574
0.349,2.714783,1.171952
0.35,2.710901,1.169429
0.351,2.707109,1.167002
0.352,2.703405,1.164667
0.353,2.699787,1.162421
0.354,2.696254,1.160258
0.355,2.692803,1.158176
0.356,2.689433,1.156172
0.357,2.686143,1.154242
0.358,2.68293,1.152384
0.359,2.679794,1.150594
0.36,2.676731,1.14887
0.361,2.673742,1.147208
0.362,2.670823,1.145608
0.363,2.667974,1.144065
0.364,2.665192,1.142578
0.365,2.662477,1.141145
0.366,2.659827,1.139763
0.367,2.65724,1.138431
0.368,2.654715,1.137146
0.369,2.65225,1.135907
0.37,2.649844,1.134711
0.371,2.647496,1.133558
0.372,2.645204,1.132446
0.373,2.642967,1.131372
0.374,2.640784,1.130337
0.375,2.638652,1.129337
0.376,2.636572,1.128372
0.377,2.634542,1.127441
0.378,2.632561,1.126542
0.379,2.630627,1.125674
0.38,2.628739,1.124836
0.381,2.626897,1.124027
0.382,2.625098,1.123246
0.383,2.623343,1.122492
0.384,2.62163,1.121763
0.385,2.619958,1.12106
0.386,2.618325,1.120381
0.387,2.616732,1.119725
0.388,2.615177,1.119091
0.389,2.613658,1.118479
0.39,2.612176,1.117889
0.391,2.610729,1.117318
0.392,2.609317,1.116768
0.393,2.607938,1.116236
0.394,2.606592,1.115722
0.395,2.605278,1.115227
0.396,2.603995,1.114749
0.397,2.602742,1.114287
0.398,2.601519,1.113841
0.399,2.600324,1.113412
0.4,2.599158,1.112997
0.401,2.598019,1.112597
0.402,2.596907,1.112212
0.403,2.595821,1.11184
0.404,2.594761,1.111483
0.405,2.593725,1.111138
0.406,2.592714,1.110806
0.407,2.591726,1.110486
0.408,2.590761,1.110178
0.409,2.589818,1.109883
0.41,2.588898,1.109599
0.411,2.587999,1.109325
0.412,2.58712,1.109063
0.413,2.586262,1.108812
0.414,2.585423,1.108571
0.415,2.584604,1.10834
0.416,2.583803,1.108119
0.417,2.583021,1.107907
0.418,2.582257,1.107705
0.419,2.58151,1.107513
0.42,2.58078,1.107329
0.421,2.580066,1.107154
0.422,2.579369,1.106988
0.423,2.578687,1.106831
0.424,2.578021,1.106682
