"Wavelength, µm","n","k"
0.2,0.919,2.069
0.20065,0.925,2.076
0.2013,0.93,2.083
0.20195,0.936,2.091
0.20261,0.942,2.098
0.20328,0.947,2.105
0.20395,0.953,2.112
0.20462,0.959,2.119
0.2053,0.965,2.126
0.20598,0.971,2.134
0.20667,0.977,2.141
0.20736,0.983,2.148
0.20805,0.989,2.156
0.20875,0.995,2.163
0.20946,1.001,2.171
0.21017,1.008,2.178
0.21088,1.014,2.185
0.2116,1.021,2.193
0.21233,1.027,2.2
0.21306,1.034,2.208
0.21379,1.04,2.216
0.21453,1.047,2.223
0.21528,1.054,2.231
0.21603,1.061,2.238
0.21678,1.068,2.246
0.21754,1.075,2.254
0.21831,1.082,2.262
0.21908,1.089,2.269
0.21986,1.096,2.277
0.22064,1.104,2.285
0.22143,1.111,2.293
0.22222,1.119,2.301
0.22302,1.126,2.309
0.22383,1.134,2.317
0.22464,1.142,2.325
0.22545,1.15,2.333
0.22628,1.158,2.341
0.22711,1.166,2.349
0.22794,1.174,2.357
0.22878,1.182,2.365
0.22963,1.191,2.373
0.23048,1.199,2.381
0.23134,1.208,2.389
0.23221,1.216,2.398
0.23308,1.225,2.406
0.23396,1.234,2.414
0.23485,1.243,2.422
0.23574,1.252,2.431
0.23664,1.261,2.439
0.23755,1.27,2.447
0.23846,1.279,2.456
0.23938,1.289,2.464
0.24031,1.298,2.472
0.24125,1.308,2.481
0.24219,1.318,2.489
0.24314,1.328,2.498
0.24409,1.338,2.506
0.24506,1.348,2.515
0.24603,1.358,2.523
0.24701,1.369,2.532
0.248,1.379,2.54
0.249,1.39,2.549
0.25,1.401,2.558
0.25101,1.412,2.566
0.25203,1.423,2.575
0.25306,1.434,2.583
0.2541,1.445,2.592
0.25514,1.457,2.601
0.2562,1.469,2.609
0.25726,1.48,2.618
0.25833,1.492,2.627
0.25941,1.504,2.636
0.2605,1.517,2.644
0.2616,1.529,2.653
0.26271,1.541,2.662
0.26383,1.554,2.67
0.26496,1.567,2.679
0.26609,1.58,2.688
0.26724,1.593,2.696
0.2684,1.607,2.705
0.26957,1.62,2.714
0.27074,1.634,2.722
0.27193,1.648,2.731
0.27313,1.662,2.74
0.27434,1.676,2.748
0.27556,1.69,2.757
0.27679,1.705,2.766
0.27803,1.72,2.774
0.27928,1.734,2.783
0.28054,1.75,2.791
0.28182,1.765,2.8
0.28311,1.78,2.808
0.2844,1.796,2.817
0.28571,1.812,2.825
0.28704,1.828,2.833
0.28837,1.845,2.842
0.28972,1.861,2.85
0.29108,1.878,2.858
0.29245,1.895,2.867
0.29384,1.912,2.875
0.29524,1.93,2.883
0.29665,1.947,2.891
0.29808,1.965,2.899
0.29952,1.983,2.907
0.30097,2.002,2.914
0.30244,2.02,2.922
0.30392,2.039,2.93
0.30542,2.058,2.937
0.30693,2.078,2.945
0.30846,2.097,2.952
0.31,2.117,2.959
0.31156,2.137,2.967
0.31313,2.157,2.974
0.31472,2.178,2.981
0.31633,2.199,2.987
0.31795,2.22,2.994
0.31959,2.241,3.001
0.32124,2.263,3.007
0.32292,2.285,3.013
0.32461,2.307,3.019
0.32632,2.329,3.025
0.32804,2.352,3.031
0.32979,2.375,3.037
0.33155,2.398,3.042
0.33333,2.422,3.047
0.33514,2.446,3.052
0.33696,2.47,3.057
0.3388,2.494,3.062
0.34066,2.519,3.066
0.34254,2.544,3.07
0.34444,2.569,3.074
0.34637,2.595,3.078
0.34831,2.62,3.081
0.35028,2.647,3.084
0.35227,2.673,3.087
0.35429,2.7,3.09
0.35632,2.727,3.092
0.35838,2.754,3.094
0.36047,2.781,3.096
0.36257,2.809,3.097
0.36471,2.837,3.098
0.36686,2.865,3.098
0.36905,2.894,3.099
0.37126,2.923,3.099
0.37349,2.952,3.098
0.37576,2.981,3.097
0.37805,3.011,3.096
0.38037,3.041,3.094
0.38272,3.071,3.092
0.38509,3.101,3.089
0.3875,3.132,3.086
0.38994,3.163,3.083
0.39241,3.194,3.079
0.3949,3.225,3.074
0.39744,3.256,3.069
0.4,3.288,3.063
0.4026,3.32,3.057
0.40523,3.352,3.051
0.40789,3.384,3.043
0.4106,3.416,3.036
0.41333,3.448,3.027
0.41611,3.481,3.018
0.41892,3.513,3.009
0.42177,3.546,2.999
0.42466,3.578,2.988
0.42759,3.611,2.977
0.43056,3.644,2.965
0.43357,3.677,2.952
0.43662,3.709,2.939
0.43972,3.742,2.925
0.44286,3.775,2.91
0.44604,3.808,2.895
0.44928,3.84,2.879
0.45255,3.873,2.862
0.45588,3.905,2.845
0.45926,3.937,2.827
0.46269,3.969,2.808
0.46617,4.001,2.789
0.4697,4.033,2.768
0.47328,4.064,2.748
0.47692,4.095,2.726
0.48062,4.126,2.704
0.48438,4.157,2.681
0.48819,4.187,2.658
0.49206,4.217,2.633
0.496,4.246,2.609
0.5,4.275,2.583
0.50407,4.304,2.557
0.5082,4.332,2.53
0.5124,4.36,2.503
0.51667,4.388,2.474
0.52101,4.414,2.446
0.52542,4.441,2.417
0.52991,4.466,2.387
0.53448,4.492,2.356
0.53913,4.516,2.325
0.54386,4.54,2.294
0.54867,4.563,2.262
0.55357,4.586,2.229
0.55856,4.608,2.196
0.56364,4.629,2.163
0.56881,4.65,2.129
0.57407,4.67,2.095
0.57944,4.689,2.06
0.58491,4.708,2.025
0.59048,4.726,1.99
0.59615,4.743,1.955
0.60194,4.759,1.919
0.60784,4.774,1.883
0.61386,4.789,1.846
0.62,4.803,1.81
0.62626,4.816,1.773
0.63265,4.829,1.736
0.63918,4.84,1.699
0.64583,4.851,1.661
0.65263,4.861,1.624
0.65957,4.87,1.587
0.66667,4.879,1.549
0.67391,4.886,1.512
0.68132,4.893,1.474
0.68889,4.899,1.437
0.69663,4.905,1.399
0.70455,4.909,1.362
0.71264,4.913,1.325
0.72093,4.916,1.287
0.72941,4.918,1.25
0.7381,4.919,1.213
0.74699,4.92,1.177
0.7561,4.92,1.14
0.76543,4.919,1.103
0.775,4.918,1.067
0.78481,4.916,1.031
0.79487,4.913,0.996
0.80519,4.909,0.96
0.81579,4.905,0.925
0.82667,4.899,0.89
0.83784,4.894,0.855
0.84932,4.887,0.821
0.86111,4.88,0.787
0.87324,4.872,0.754
0.88571,4.864,0.72
0.89855,4.855,0.688
0.91176,4.845,0.655
0.92537,4.834,0.623
0.93939,4.823,0.592
0.95385,4.812,0.561
0.96875,4.799,0.53
0.98413,4.787,0.5
1,4.773,0.47
1.0164,4.759,0.441
1.0333,4.744,0.412
1.0508,4.729,0.385
1.069,4.713,0.357
1.0877,4.696,0.33
1.1071,4.679,0.304
1.1273,4.661,0.279
1.1481,4.642,0.254
1.1698,4.623,0.23
1.1923,4.604,0.207
1.2157,4.584,0.185
1.24,4.563,0.163
1.2653,4.542,0.143
1.2917,4.52,0.123
1.3191,4.498,0.105
1.3478,4.475,0.088
1.4419,4.407,0.044
1.4762,4.381,0.032
1.5122,4.357,0.021
1.55,4.332,0.013
1.5897,4.309,0.007
1.6316,4.285,0.002
1.6757,4.263,0
1.7222,4.244,0
1.7714,4.226,0
1.8235,4.21,0
1.8788,4.196,0
1.9375,4.182,0
2,4.169,0
