"Wavelength, µm","n","k"
0.252,1.523846,0.001211
0.254,1.522945,0.001171
0.256,1.522066,0.001131
0.258,1.521208,0.001093
0.26,1.52037,0.001055
0.262,1.519552,0.001019
0.264,1.518753,0.000983
0.266,1.517972,0.000949
0.268,1.517209,0.000915
0.27,1.516463,0.000882
0.272,1.515734,0.00085
0.274,1.515021,0.000819
0.276,1.514325,0.000789
0.278,1.513643,0.000759
0.28,1.512977,0.00073
0.282,1.512325,0.000702
0.284,1.511687,0.000675
0.286,1.511063,0.000649
0.288,1.510452,0.000623
0.29,1.509854,0.000598
0.292,1.509268,0.000574
0.294,1.508695,0.00055
0.296,1.508134,0.000527
0.298,1.507584,0.000505
0.3,1.507046,0.000483
0.302,1.506518,0.000462
0.304,1.506002,0.000441
0.306,1.505495,0.000421
0.308,1.504999,0.000402
0.31,1.504512,0.000383
0.312,1.504035,0.000365
0.314,1.503568,0.000348
0.316,1.503109,0.000331
0.318,1.50266,0.000314
0.32,1.502219,0.000298
0.322,1.501786,0.000283
0.324,1.501361,0.000268
0.326,1.500945,0.000253
0.328,1.500536,0.00024
0.33,1.500135,0.000226
0.332,1.499742,0.000213
0.334,1.499355,0.0002
0.336,1.498976,0.000188
0.338,1.498603,0.000177
0.34,1.498238,0.000166
0.342,1.497878,0.000155
0.344,1.497525,0.000144
0.346,1.497179,0.000135
0.348,1.496838,0.000125
0.35,1.496504,0.000116
0.352,1.496175,0.000107
0.354,1.495852,0.000099
0.356,1.495534,0.000091
0.358,1.495222,0.000083
0.36,1.494915,0.000076
0.362,1.494613,0.000069
0.364,1.494316,0.000063
0.366,1.494025,0.000057
0.368,1.493738,0.000051
0.37,1.493455,0.000045
0.372,1.493177,0.00004
0.374,1.492904,0.000036
0.376,1.492635,0.000031
0.378,1.49237,0.000027
0.38,1.49211,0.000023
0.382,1.491854,0.00002
0.384,1.491601,0.000016
0.386,1.491353,0.000014
0.388,1.491108,0.000011
0.39,1.490867,0.000009
0.392,1.490629,0.000007
0.394,1.490396,0.000005
0.396,1.490165,0.000003
0.398,1.489938,0.000002
0.4,1.489714,0.000001
0.402,1.489494,0.000001
